Status,Nama Kapal,Flag State,Jenis Kapal,DWT,Capacity,EHP ME,No ME,MCR ME,PME,EHP AE,No AE,PAE,Vs,Vservice,Vref,MCRavg,Vapp,Vavg,Margin,Att. EEXI,Reference Line,Reduction Factor,Req. EEXI,Req - Att,Att/Req,Judgment
ACTIVE,EVER BLESS,TAIWAN,Container,36972,36972,24260,1,24260,18195,704.875,3,2114.625,20.3,20.3,20.09493547,8105.603778,19.62069011,14.33140815,0.716570407,16.79176319,7.191350373,0.2,5.753080298,-11.03868289,2.91874306,Not Comply
ACTIVE,EVER BLINK,TAIWAN,Container,36972,36972,24260,1,24260,18195,704.875,3,2114.625,20.2,20.2,19.99594564,8105.603778,19.62069011,14.33140815,0.716570407,16.79176319,7.191350373,0.2,5.753080298,-11.03868289,2.91874306,Not Comply
ACTIVE,EVER BLOOM,TAIWAN,Container,37301,37301,24260,1,24260,18195,704.875,3,2114.625,19.3,19.3,19.10503718,8145.791561,19.59771406,14.33824434,0.716912217,16.66317026,7.160326959,0.2,5.728261567,-10.9349087,2.908940185,Not Comply
ACTIVE,EVER BOARD,TAIWAN,Container,36972,36972,24260,1,24260,18195,704.875,3,2114.625,19.5,19.5,19.30301684,8105.603778,19.62069011,14.33140815,0.716570407,16.79176319,7.191350373,0.2,5.753080298,-11.03868289,2.91874306,Not Comply
ACTIVE,EVER CALM,PANAMA,Container,22217,22217,13400,1,13400,10050,501.25,3,1503.75,16.2,16.2,16.03635245,6099.654279,17.22023753,13.94383836,0.697191918,18.17377281,9.220404267,0.2,7.376323413,-10.7974494,2.463798262,Not Comply
ACTIVE,EVER CANDID,PANAMA,Container,22383,22383,11720,1,11720,8790,439.5,3,1318.5,17.5,17.5,17.32322024,6125.055212,16.45201786,13.94942691,0.697471346,16.5200663,9.186970413,0.2,7.349576331,-9.170489969,2.247757633,Not Comply
ACTIVE,EVER CAREER,TAIWAN,Container,22149,22149,11960,1,11960,8970,448.5,3,1345.5,12,12,11.87877959,6089.224883,16.58659869,13.94153766,0.697076883,16.89823559,9.234207589,0.2,7.387366071,-9.510869522,2.287450687,Not Comply
ACTIVE,EVER CAST,PANAMA,Container,22398,22398,11960,1,11960,8970,448.5,3,1345.5,16.8,16.8,16.63029143,6127.346371,16.56209287,13.94992997,0.697496498,16.73510206,9.18396746,0.2,7.347173968,-9.387928088,2.277760419,Not Comply
ACTIVE,EVER CENTER,PANAMA,Container,22053,22053,11900,1,11900,8925,446.25,3,1338.75,19,19,18.80806769,6074.476919,16.56833089,13.93827821,0.696913911,16.90527212,9.253802343,0.2,7.403041875,-9.502230244,2.283557544,Not Comply
ACTIVE,EVER CHANT,PANAMA,Container,22390,22390,11960,1,11960,8970,448.5,3,1345.5,16.9,16.9,16.72928126,6126.124503,16.5628754,13.94966171,0.697483086,16.7402906,9.185568662,0.2,7.34845493,-9.391835667,2.278069439,Not Comply
ACTIVE,EVER CHARM,PANAMA,Container,22382,22382,11960,1,11960,8970,448.5,3,1345.5,13.2,13.2,13.06665755,6124.902444,16.56365824,13.94939336,0.697469668,16.7454826,9.187170717,0.2,7.349736573,-9.395746028,2.278378611,Not Comply
ACTIVE,EVER CHASTE,PANAMA,Container,22050,22050,11900,1,11900,8925,446.25,3,1338.75,19.1,19.1,18.90705752,6074.015589,16.568629,13.93817614,0.696908807,16.90726794,9.254416724,0.2,7.403533379,-9.503734563,2.28367552,Not Comply
ACTIVE,EVER CHEER,PANAMA,Container,22405,22405,11960,1,11960,8970,448.5,3,1345.5,17.5,17.5,17.32322024,6128.415346,16.56140841,13.95016462,0.697508231,16.73056492,9.182567105,0.2,7.346053684,-9.384511236,2.277490152,Not Comply
